8.35.211.99:443#SG 78ms
172.64.157.36:443#SG 115ms
172.64.159.73:443#SG 126ms
172.64.152.205:443#SG 156ms
108.162.196.149:443#SG 218ms
108.162.194.91:443#SG 218ms
8.39.125.194:443#SG 254ms
172.64.151.142:443#SG 257ms
172.64.147.21:443#SG 259ms
172.64.144.70:443#SG 260ms
172.64.145.64:443#SG 264ms
162.159.58.201:443#SG 268ms
172.64.154.236:443#SG 268ms
172.64.158.212:443#SG 277ms
172.64.149.112:443#SG 289ms
172.64.156.85:443#SG 291ms
108.162.193.196:443#SG 385ms
162.159.49.161:443#SG 390ms
108.162.192.94:443#SG 398ms
162.159.35.142:443#SG 487ms
